_id,No,Date,Crossroads,Road,Car_7-9,Van_7-9,Bus_7-9,Minibus_7-9,Truck_7-9,3Cycle_7-9,Car_9-17,Van_9-17,Bus_9-17,Minibus_9-17,Truck_9-17,3Cycle_9-17,Car_17-19,Van_17-19,Bus_17-19,Minibus_17-19,Truck_17-19,3Cycle_17-19,Total_Vol,Lat.,Lon.,Temperature,Rainfall,Holiday
115,115,2024-02-05,วังหิน,ลาดปลาเค้า,836,229.0,0,0,5,76,3344,1399.0,0,0,46,383,693.0,273,0,0,4,113,7401.0,13.8318984,100.5918019,27.818519976627467,38.785941852276004,0
116,116,2024-02-05,วังหิน,เสนานิคม 1,1551,396.0,0,0,10,230,5648,2195.0,1,0,48,622,1595.0,484,0,0,7,201,12988.0,13.8318984,100.5918019,27.970947998333518,48.04704130309821,0
117,117,2024-02-06,ถนนตะนาว (ระหว่างมหรรณพ-สี่กั๊กเสาชิงช้า),ตะนาว,902,202.0,2,0,2,152,3295,1082.0,6,0,27,651,694.0,228,5,0,6,150,7404.0,13.75260409,100.4983468,30.386396963708297,26.19167944164853,0
118,118,2024-02-06,ถนนมหรรณพ (ระหว่างถนนตะนาว-ถนนดินสอ),มหรรณพ,254,109.0,0,0,2,88,1602,515.0,0,0,4,353,643.0,169,0,0,1,96,3836.0,13.75358742,100.4998271,28.065587708947778,37.65141226524031,0
119,119,2024-02-07,กรุงเทพกรีฑา 20,กรุงเทพกรีฑา 20,411,178.0,0,0,13,0,1493,743.0,0,0,89,3,384.0,204,0,0,17,0,3535.0,13.7415315,100.6825728,29.016079073826315,11.119285309747445,0
120,120,2024-02-07,กรุงเทพกรีฑา 20,กรุงเทพกรีฑา 37,123,90.0,0,0,10,3,305,192.0,0,0,19,9,100.0,55,0,0,1,1,908.0,13.7415315,100.6825728,27.295599406181303,9.911669386523918,0
121,121,2024-02-07,กรุงเทพกรีฑา 20,กรุงเทพกรีฑา,1016,619.0,24,0,24,6,3366,1759.0,48,1,205,25,1018.0,470,17,0,39,9,8646.0,13.7415315,100.6825728,27.988021497191745,49.072131220409034,0
122,122,2024-02-08,กาญจนาภิเษก 5/1,คู่ขนานกาญจนาภิเษก(มอเตอร์เวย์ 9),1055,348.0,0,0,38,0,3451,1936.0,0,0,269,1,1170.0,504,0,0,55,1,8828.0,13.87610839,100.6826331,25.977595481788796,35.015060746928114,0
123,123,2024-02-08,กาญจนาภิเษก 5/1,กาญจนาภิเษก 5/1,2,1.0,0,0,0,0,9,6.0,0,0,0,0,4.0,2,0,0,0,0,24.0,13.87610839,100.6826331,33.4445964908763,47.58491779486513,0
124,124,2024-02-08,กาญจนาภิเษก 6,กาญจนาภิเษก 6,1204,459.0,8,0,57,0,4177,2119.0,34,0,486,0,1103.0,421,3,0,54,0,10125.0,13.87670144,100.6821071,33.0873769086312,21.442135986552223,0
125,125,2024-02-08,กาญจนาภิเษก 6,คู่ขนานกาญจนาภิเษก(มอเตอร์เวย์ 9),7,10.0,0,0,0,0,29,52.0,0,0,0,0,8.0,25,0,0,1,0,132.0,13.87670144,100.6821071,29.990933108760174,44.01471173539833,0
126,126,2024-02-09,ทางข้ามข้างวัดสุทัศน์,ตีทอง,1477,342.0,35,26,9,123,3863,1082.0,137,62,57,607,961.0,200,30,24,9,139,9183.0,13.75038136,100.5003018,27.507941312522938,6.44527643139145,0
127,127,2024-02-09,เสาชิงช้า,ตีทอง,1314,313.0,17,10,8,83,3216,925.0,65,27,53,458,858.0,171,12,12,9,114,7665.0,13.75173707,100.5004545,31.700051402655518,40.915828206899505,0
128,128,2024-02-09,เสาชิงช้า,ดินสอ,563,81.0,21,3,3,29,2245,364.0,80,18,18,153,638.0,116,19,5,1,41,4398.0,13.75173707,100.5004545,25.15195195237523,15.055185355760281,0
129,129,2024-02-09,เสาชิงช้า,บำรุงเมือง,2555,520.0,26,18,23,244,8281,2363.0,113,35,110,874,1936.0,383,23,12,17,273,17806.0,13.75173707,100.5004545,27.465204902245013,8.143950397757504,0
130,130,2024-02-12,สำราญราษฎร์,มหาไชย,1611,297.0,19,0,4,51,5044,1667.0,97,1,84,333,1874.0,450,19,0,24,118,11693.0,13.752247,100.504473,31.600594511347992,4.283176242537956,0
131,131,2024-02-12,สำราญราษฎร์,บำรุงเมือง,2555,520.0,26,18,23,244,8281,2363.0,113,35,110,874,1936.0,383,23,12,17,273,17806.0,13.752247,100.504473,31.883595339102918,7.489544942132465,0
132,132,2024-02-12,สำราญราษฎร์ (ระหว่างถนนมหาไชย - ถนนศิริพงษ์),สำราญราษฎร์,197,75.0,0,0,1,23,665,190.0,0,0,7,117,128.0,48,0,0,0,13,1464.0,13.75298567,100.5034981,31.009736453204866,24.909482882243122,0
133,133,2024-02-13,วัดหลักสี่,กำแพงเพชร 6,3033,679.0,2,0,19,1,8745,2777.0,5,0,150,7,2169.0,606,1,0,30,4,18228.0,13.888564,100.583217,26.21377775514975,26.855342955000268,0
134,134,2024-02-13,วัดหลักสี่,ทางข้ามทางรถไฟสายเหนือ,1018,519.0,0,0,2,0,3179,1808.0,4,0,45,0,907.0,500,3,0,4,0,7989.0,13.888564,100.583217,31.426354509328352,45.557106874918276,0
135,135,2024-02-14,ถนนดินสอ (ระหว่างถนนมหรรณพ - เสาชิงช้า),ดินสอ,1609,377.0,32,19,12,75,7061,1902.0,148,70,62,588,1744.0,351,34,18,4,136,14242.0,13.75278558,100.5010501,30.38025513226532,48.857535222251634,0
136,136,2024-02-14,หน้า รร.เบญจมราชาลัย,ศิริพงษ์,944,200.0,16,0,2,141,3471,746.0,28,0,13,506,1163.0,185,9,0,2,203,7629.0,13.75108283,100.5019102,31.63430253575533,29.050752478667818,0
137,137,2024-02-14,หน้า รร.วัดสุทัศน์,อุณากรรณ,281,71.0,1,0,9,85,1067,354.0,8,0,22,229,314.0,59,4,0,0,48,2552.0,13.74896259,100.50141,26.401161841920242,43.68889493183968,0
138,138,2024-02-15,เชื่อมสัมพันธ์  - สกุลดี,เชื่อมสัมพันธ์,636,525.0,7,0,48,1,2137,2060.0,25,0,350,4,532.0,479,2,0,61,0,6867.0,13.859958,100.864477,26.686305621273764,22.273441643255193,0
139,139,2024-02-15,เชื่อมสัมพันธ์  - สกุลดี,สกุลดี,1021,752.0,8,0,58,1,3375,2923.0,19,0,479,0,817.0,554,12,0,73,0,10092.0,13.859958,100.864477,29.251705991917472,7.905339438554437,0
140,140,2024-02-15,ประชาร่วมใจ 31,ประชาร่วมใจ 31,59,19.0,0,0,1,0,142,51.0,0,0,4,2,36.0,26,0,0,1,1,342.0,13.834875,100.766753,29.75798067323398,35.73215214383116,0
141,141,2024-02-15,ประชาร่วมใจ 31,ประชาร่วมใจ,1086,704.0,21,1,25,4,4036,2728.0,69,4,194,14,1186.0,785,22,0,16,1,10896.0,13.834875,100.766753,28.924939388208706,21.710366005410854,0
142,142,2024-02-16,บางบอน 5 ซอย 5,บางบอน 5,2109,991.0,16,0,111,14,5760,4889.0,23,0,979,28,1979.0,1198,12,0,115,3,18227.0,13.64948117,100.3583914,29.370064722692526,2.9269431537546406,0
143,143,2024-02-16,บางบอน 5 ซอย 5,บางบอน 5 ซอย 5,269,301.0,0,0,30,0,1025,1270.0,0,0,399,3,371.0,418,0,0,109,1,4196.0,13.64948117,100.3583914,25.832702779422494,9.517705775907404,0
144,144,2024-02-19,สี่กั๊กเสาชิงช้า,เฟื่องนคร,400,148.0,0,0,1,95,2699,888.0,6,0,19,399,666.0,137,0,0,3,48,5509.0,13.751469,100.498186,34.681592245600015,18.162503579550776,0
145,145,2024-02-19,สี่กั๊กเสาชิงช้า,ตะนาว,380,103.0,2,0,0,94,1738,611.0,4,0,9,271,395.0,107,0,0,1,51,3766.0,13.751469,100.498186,34.63709382617045,41.96423329160857,0
146,146,2024-02-19,สี่กั๊กเสาชิงช้า,บำรุงเมือง,1272,287.0,3,0,5,76,4039,1364.0,41,0,31,533,831.0,240,2,0,2,126,8852.0,13.751469,100.498186,30.227687858722753,37.40425880836083,0
147,147,2024-02-19,ถนนราชบพิธ (ระหว่างถนนตีทอง - ถนนเฟื่องนคร),ราชบพิธ,163,38.0,0,0,0,201,703,226.0,0,0,3,396,198.0,33,0,0,1,137,2099.0,13.74958459,100.4989052,25.63436528541665,8.90629658213321,0
148,148,2024-02-19,ถนนดินสอ (ระหว่าง อ.ประชาธิปไตย - ถนนมหรรณพ),ดินสอ,1304,360.0,35,21,13,99,5167,2020.0,206,89,49,461,964.0,306,31,16,14,75,11230.0,13.754824,100.5014105,32.229674672907755,0.18094733388632211,0
149,149,2024-02-20,ประเวศ,เฉลิมพระเกียรติ ร.9,2482,936.0,0,0,97,1,6996,3928.0,11,0,616,11,1745.0,919,1,0,76,7,17826.0,13.721375,100.6978,27.580301512286873,41.87493206884654,0
150,150,2024-02-20,ประเวศ,อ่อนนุช,7285,2985.0,35,3,241,9,22047,11309.0,141,23,1820,43,6010.0,2786,44,5,213,9,55008.0,13.721375,100.6978,26.9735195002197,20.358357947844734,0
151,151,2024-02-21,สุเหร่าคลองหนึ่ง ซ.15,เจริญพัฒนา,397,327.0,2,0,7,0,974,804.0,0,0,90,0,203.0,134,0,0,12,0,2950.0,13.84192474,100.7131616,26.987482492060646,35.82877613713755,0
152,152,2024-02-21,สุเหร่าคลองหนึ่ง ซ.15,สุเหร่าคลองหนึ่ง ซ.15,300,102.0,0,0,4,0,461,274.0,0,0,9,4,120.0,43,0,0,4,1,1322.0,13.84192474,100.7131616,27.736363406634947,7.074895863732006,0
153,153,2024-02-21,สุเหร่าคลองหนึ่ง ซ.15,สุเหร่าคลองหนึ่ง,705,588.0,0,0,18,1,2870,1939.0,0,0,122,6,956.0,635,0,0,16,1,7857.0,13.84192474,100.7131616,34.85641001899706,1.656402334627416,0
154,154,2024-02-22,หน้าหมู่บ้านพรทิพา 4,หนองแขม - วัดศรีนวล,592,288.0,11,0,5,0,1608,995.0,45,1,45,8,347.0,146,13,0,12,1,4117.0,13.6689672,100.3410964,32.18085244944423,9.616929948061609,0
155,155,2024-02-22,ชุมชนสวัสดิการหนองแขม,สวัสดิการ 1,343,214.0,1,0,22,0,771,551.0,0,0,111,0,195.0,90,0,0,16,0,2314.0,13.690631,100.361844,25.321239770252422,10.579654816581318,0
156,156,2024-02-22,หน้าวัดศรีนวล,หนองแขม-วัดศรีนวล,786,341.0,0,0,12,0,2281,1261.0,0,0,34,0,639.0,303,0,0,3,0,5660.0,13.6553025,100.3436698,33.91516191778108,11.137855119085705,0
157,157,2024-02-22,ปากซอยเลียบคลองภาษีเจริญฝั่งใต้ 2/1,เลียบคลองภาษีเจริญฝั่งใต้,1222,596.0,0,0,35,5,5247,2780.0,0,0,225,18,1349.0,762,0,0,43,3,12285.0,13.68807852,100.3789115,31.202292756463077,21.38772883367148,0
158,158,2024-02-22,ปากซอยเลียบคลองภาษีเจริญฝั่งใต้ 6,เลียบคลองภาษีเจริญฝั่งใต้,459,250.0,24,0,7,0,1806,1053.0,95,0,43,0,646.0,250,17,0,5,0,4655.0,13.66716,100.342117,28.46182648973909,32.39180670484435,0
159,159,2024-02-23,ปากซอยวิภาวดี 25,กำแพงเพชร 6,1876,497.0,3,0,25,2,5332,1688.0,12,0,175,10,1746.0,628,3,0,12,1,12010.0,13.86141752,100.5681797,27.131963421890397,4.026623971054932,0
160,160,2024-02-23,ปากซอยวิภาวดี 25,วิภาวดีรังสิต 25,167,74.0,0,0,0,0,485,308.0,0,0,5,1,137.0,67,0,0,1,0,1245.0,13.86141752,100.5681797,28.307906255611027,3.0768827317161462,0
161,161,2024-02-27,เทพรักษ์ - สุขาภิบาล 5,สุขาภิบาล  5,3328,1277.0,1,1,63,1,11283,5236.0,16,8,870,3,3284.0,1388,2,2,83,0,26846.0,13.8754765,100.6481612,27.677386884551396,39.510460010664744,0
162,162,2024-02-27,เทพรักษ์ - สุขาภิบาล 5,เทพรักษ์,6892,2210.0,1,3,124,1,20254,8220.0,2,6,1174,5,4936.0,1918,3,0,196,0,45945.0,13.8754765,100.6481612,25.956146553168182,0.47783183512414285,0
163,163,2024-02-27,ปากซอยเทพรักษ์ 25,เทพรักษ์,4551,1280.0,1,0,77,0,13278,5312.0,5,0,776,0,3488.0,1340,3,0,105,1,30217.0,13.88671362,100.6155851,30.173037953644368,15.41293720563906,0
164,164,2024-02-27,ปากซอยเทพรักษ์ 42,เทพรักษ์,4222,1043.0,2,0,54,1,12221,4571.0,4,0,889,4,3688.0,1228,2,0,79,0,28008.0,13.88252532,100.6232272,34.26218489872291,2.5029414029391073,0
165,165,2024-02-28,มิตรไมตรี 3 - มิตรไมตรี 4,มิตรไมตรี 3,379,251.0,0,1,40,0,1229,907.0,1,0,74,1,303.0,159,0,0,10,0,3355.0,13.859496,100.854094,27.700752812025378,44.32886376239783,0
166,166,2024-02-28,มิตรไมตรี 3 - มิตรไมตรี 4,มิตรไมตรี 4,134,53.0,0,0,0,0,250,141.0,0,0,4,0,82.0,32,0,0,2,0,698.0,13.859496,100.854094,33.825906401905755,24.868433575702394,0
167,167,2024-02-28,มิตรไมตรี 3 - มิตรไมตรี 4,มิตรไมตรี,1144,677.0,18,0,39,4,3013,2393.0,43,0,351,10,925.0,699,21,0,66,0,9403.0,13.859496,100.854094,26.248646565768635,22.960673701572524,0
168,168,2024-02-29,ปากซอยเจริญนคร 39,เจริญนคร,3251,742.0,60,0,47,146,11024,3769.0,204,0,174,476,3251.0,656,75,0,23,112,24010.0,13.71205958,100.5011811,25.556641707940525,5.153345132953885,0
169,169,2024-02-29,กรุงธนบุรีใต้,เจริญนคร,4538,1234.0,69,2,57,220,18008,5367.0,328,5,333,768,4777.0,1403,115,1,55,229,37509.0,13.718832,100.508114,30.457299767753668,36.341878477188686,0
170,170,2024-02-29,กรุงธนบุรีใต้,กรุงธนบุรี,1075,381.0,7,1,7,1,5435,1656.0,24,2,74,11,1652.0,436,4,0,18,8,10792.0,13.718832,100.508114,32.394866246791146,39.844893039158485,0
171,171,2023-04-03,หทัยมิตร - นิมิตรใหม่ ,นิมิตรใหม่ ,3329,1761.0,3,2,742,3,9622,7306.0,16,0,4186,18,2993.0,1946,12,2,641,1,32583.0,13.859775,100.73188,28.003236585927564,31.95528962903681,0
172,172,2023-04-03,หทัยมิตร - นิมิตรใหม่ ,หทัยมิตร ,927,492.0,0,2,43,0,2341,1578.0,0,1,549,1,734.0,458,1,1,47,0,7175.0,13.859775,100.73188,29.28182787633164,6.053657152721698,0
173,173,2023-04-03,ระหว่างซอยนิมิตรใหม่ 33 - 35,นิมิตรใหม่ ,1955,1950.0,1,0,489,0,6826,6072.0,6,0,3743,0,2011.0,1479,1,0,425,1,24959.0,13.885933,100.731701,27.478559640918803,38.09960838678549,0
174,174,2023-04-04,พงษ์เพชร,ประชาชื่น,3622,822.0,57,0,15,0,14862,4555.0,236,0,246,12,5169.0,1029,33,0,30,3,30691.0,13.856209,100.545104,30.56722893475027,47.786394271078606,0
175,175,2023-04-04,พงษ์เพชร,งามวงศ์วาน,15368,4514.0,160,2,236,15,50346,20010.0,492,14,2035,59,11157.0,4296,108,3,146,6,108967.0,13.856209,100.545104,31.78195228570705,3.483498811783836,0
176,176,2023-04-05,ลำสาลี,ศรีนครินทร์,2010,742.0,219,18,12,13,7671,3555.0,734,107,97,21,2063.0,735,147,13,27,1,18185.0,13.762717,100.645628,28.926140789746515,34.45971557355145,0
177,177,2023-04-05,ลำสาลี,รามคำแหง,9014,2684.0,103,8,92,24,31106,10867.0,492,50,657,100,8608.0,2725,147,16,53,15,66761.0,13.762717,100.645628,32.30389520639936,12.33865187806311,0
178,178,2023-04-07,สี่แยกลาดหญ้า,ท่าดินแดง,734,236.0,40,7,8,126,2832,935.0,135,37,76,303,864.0,236,44,15,19,79,6726.0,13.728713,100.500985,25.69997132178425,33.84403365889358,0
179,179,2023-04-07,สี่แยกลาดหญ้า,อิสรภาพ,568,137.0,11,0,5,83,2681,633.0,35,0,67,361,737.0,178,6,0,11,89,5602.0,13.728713,100.500985,32.14698578197724,20.17354362342089,0
180,180,2023-04-10,นิคมอุตสาหกรรมลาดกระบัง,ฉลองกรุง,4222,2358.0,54,4,375,1,11817,8947.0,138,5,2641,10,3804.0,2255,74,1,366,1,37073.0,13.755756,100.79797,28.999861355618506,45.40236532836945,0
181,181,2023-04-10,นิคมอุตสาหกรรมลาดกระบัง,ฉลองกรุง 31,582,701.0,16,0,253,0,2148,2772.0,26,0,1621,0,875.0,476,21,0,176,0,9667.0,13.755756,100.79797,28.262794315095434,6.900679001573557,0
182,182,2023-04-10,นิคมอุตสาหกรรมลาดกระบัง,ซอยส่วนบุคคล,8,10.0,0,0,0,1,32,45.0,0,0,0,1,8.0,18,0,0,1,0,124.0,13.755756,100.79797,25.046513738417907,19.061405995406606,0
183,183,2023-04-11,จุดกลับรถปากซอยอ่อนนุช 59,อ่อนนุช 59,36,21.0,0,0,0,0,216,103.0,0,0,25,6,52.0,14,0,0,4,2,479.0,13.719639,100.674242,25.276250934111403,47.05854563496545,0
184,184,2023-04-11,จุดกลับรถปากซอยอ่อนนุช 59,อ่อนนุช,2779,1126.0,31,8,32,11,15525,7397.0,159,41,722,58,5485.0,2016,61,11,90,17,35569.0,13.719639,100.674242,30.063834064302615,48.375414740661604,0
185,185,2023-04-11,ปากซอยอ่อนนุช 74/3,อ่อนนุช 74/3,27,18.0,0,0,0,0,41,27.0,0,0,0,1,11.0,9,0,0,0,0,134.0,13.718038,100.664381,31.851038199371356,42.95514616618611,0
186,186,2023-04-11,ปากซอยอ่อนนุช 74/3,อ่อนนุช,4984,1929.0,84,10,125,25,18121,8075.0,278,38,826,55,5152.0,2080,58,10,82,15,41947.0,13.718038,100.664381,31.416819118348965,38.478702439901376,0
187,187,2023-04-12,เทวกรรม,นครสวรรค์,3265,742.0,4,0,11,39,10600,3196.0,24,0,91,256,2527.0,640,9,0,13,46,21463.0,13.760085,100.512691,34.88698826271295,35.6165058360389,0
188,188,2023-04-12,เทวกรรม,กรุงเกษม,1587,325.0,34,1,8,81,6539,1502.0,78,1,67,571,1313.0,423,25,0,4,102,12661.0,13.760085,100.512691,33.704922264871364,11.89228873925703,0
189,189,2023-04-18,พัฒนาการ,ศรีนครินทร์,7029,2802.0,88,1,152,7,25692,11823.0,420,0,1075,26,6303.0,2316,144,0,111,3,57992.0,13.735596,100.641007,28.850450395572828,19.456362280953698,0
190,190,2023-04-18,พัฒนาการ,พัฒนาการ,5466,1812.0,60,0,61,16,21214,8216.0,217,1,604,41,5603.0,1776,37,0,67,8,45199.0,13.735596,100.641007,33.12681152377149,20.973405122378104,0
191,191,2023-04-19,สีลม - นราธิวาส,นราธิวาสราชนครินทร์,3347,637.0,1,0,19,28,11679,3104.0,6,0,99,165,3025.0,549,2,0,14,55,22730.0,13.72631,100.528064,30.50508379917444,10.016252836204053,0
192,192,2023-04-19,สีลม - นราธิวาส,สีลม,2992,770.0,138,12,13,60,11493,2847.0,499,53,96,495,3323.0,666,127,12,9,93,23698.0,13.72631,100.528064,29.23945486795337,39.9085871099356,0
193,193,2023-04-20,ศิริราช,อรุณอมรินทร์,1672,294.0,29,0,2,55,4592,1141.0,99,0,24,199,1768.0,478,43,0,2,59,10457.0,13.756068,100.483463,34.064683787931244,37.52496953554274,0
194,194,2023-04-20,ศิริราช,พรานนก,1461,247.0,21,0,4,177,5234,1100.0,69,0,26,811,1077.0,244,17,0,2,152,10642.0,13.756068,100.483463,25.923831517365404,33.5093488773679,0
195,195,2023-04-21,สะพานเหลือง,ซอยสว่าง 1- ทางด่วน- ซอยพระยาดำรง,11,7.0,0,0,0,0,104,75.0,0,0,8,4,33.0,32,0,0,4,2,280.0,13.735728,100.5216,34.429343467440695,9.444656170944675,0
196,196,2023-04-21,สะพานเหลือง,บรรทัดทอง,665,252.0,19,0,8,18,3472,1591.0,77,0,73,54,1260.0,393,21,1,12,15,7931.0,13.735728,100.5216,30.41976737587552,27.904071311903124,0
197,197,2023-04-21,สะพานเหลือง,พระรามที่ 4,6763,1726.0,167,4,69,107,26720,8546.0,645,8,394,394,7278.0,1900,142,1,35,115,55014.0,13.735728,100.5216,30.281258570663688,8.818578470634986,0
198,198,2023-04-24,บางโพ,ประชาราษฎร์สาย 1,4608,791.0,102,0,44,33,10119,3284.0,414,0,202,96,2171.0,705,77,0,24,20,22690.0,13.806362,100.521595,26.922228385797272,1.2338288087632932,0
199,199,2023-04-24,บางโพ,ประชาราษฎร์สาย 2,1101,210.0,18,0,7,14,3782,995.0,76,0,52,46,958.0,277,17,0,3,13,7569.0,13.806362,100.521595,33.00051615869727,2.730971141203753,0
200,200,2023-04-25,มิตรสัมพันธ์,มักกะสัน,1508,370.0,4,0,11,20,5501,1626.0,18,1,92,134,1516.0,405,7,0,14,39,11266.0,13.750023,100.554479,29.198407591681544,4.0505357753587825,0
201,201,2023-04-25,มิตรสัมพันธ์,เพชรบุรี,6641,1633.0,156,0,69,50,23125,6523.0,640,3,364,539,5390.0,1266,122,0,48,162,46731.0,13.750023,100.554479,29.024809479607107,38.37881242971943,0
202,202,2023-04-26,จันทน์ - เจริญราษฎร์,เจริญราษฎร์,5267,1222.0,17,0,35,21,18411,7026.0,88,1,459,180,5822.0,1647,21,0,54,30,40301.0,13.707885,100.518636,25.889706433336617,17.377050436660724,0
203,203,2023-04-26,จันทน์ - เจริญราษฎร์,จันทน์,1953,711.0,15,0,36,77,7562,3110.0,78,0,242,358,2087.0,629,16,0,56,64,16994.0,13.707885,100.518636,27.280613599551554,47.45337649231107,0
204,204,2023-04-27,ณ ระนอง,ณ ระนอง,592,191.0,0,0,12,17,1212,740.0,1,1,656,40,300.0,97,0,0,83,4,3946.0,13.717561,100.558105,32.48409684283983,24.81796361968822,0
205,205,2023-04-27,ณ ระนอง,พระรามที่ 3,3167,1019.0,49,0,167,47,11400,5147.0,202,0,1397,154,2942.0,1196,40,0,296,41,27264.0,13.717561,100.558105,29.062529860606467,6.417833198740153,0
206,206,2023-04-27,ณ ระนอง,สุนทรโกษา,2829,1122.0,198,0,100,50,9062,4179.0,556,6,775,204,2628.0,976,124,2,87,27,22925.0,13.717561,100.558105,27.95473718209404,27.172224614975065,0
207,207,2023-04-27,ณ ระนอง,รัชดาภิเษก,991,317.0,64,0,13,93,3353,1392.0,103,0,86,204,952.0,321,9,0,19,28,7945.0,13.717561,100.558105,32.990125310016246,40.321957546148745,0
208,208,2023-11-01,หนองระแหง - คู่ขนานกาญจนาภิเษก,คู่ขนานกาญจนาภิเษก,484,216.0,0,0,53,0,773,685.0,0,0,506,1,321.0,239,0,0,106,0,3384.0,13.90539211,100.6980413,33.04599137220187,38.465941069464726,0
209,209,2023-11-01,หนองระแหง - คู่ขนานกาญจนาภิเษก,หนองระแหง,209,102.0,0,0,5,0,209,244.0,0,0,48,0,55.0,41,0,0,2,0,915.0,13.90539211,100.6980413,32.02374193910914,43.034069057367056,0
210,210,2023-11-01,หนองระแหง - หทัยราษฎร์,หนองระแหง,101,100.0,0,0,4,0,359,257.0,0,0,21,3,98.0,49,0,0,2,0,994.0,13.91767981,100.7175884,27.506424248971257,49.748209289771495,0
211,211,2023-11-01,หนองระแหง - หทัยราษฎร์,หทัยราษฎร์,2339,1316.0,5,6,68,0,7200,4419.0,16,11,542,3,2936.0,1702,1,4,92,0,20660.0,13.91767981,100.7175884,27.02908642208551,25.701584242203158,0
212,212,2023-11-02,อุดมสุข,สุขุมวิท,4561,1433.0,222,28,77,9,16168,7116.0,905,163,1434,39,4335.0,1385,200,44,173,9,38301.0,13.67889374,100.6091371,32.61794761038861,6.847570919393226,0
213,213,2023-11-02,อุดมสุข,สุขุมวิท 103,1413,451.0,10,0,5,6,4124,1563.0,35,0,83,12,1269.0,365,7,0,9,3,9355.0,13.67889374,100.6091371,33.17175733180101,36.074598270007165,0
214,214,2023-11-02,ปากซอยวชิรธรรมสาธิต 12,สุขุมวิท 101/1,1682,363.0,0,5,14,96,4532,1637.0,0,18,98,214,1081.0,563,0,5,16,14,10338.0,13.68435911,100.6141725,32.137990045069714,33.634916693360765,0
215,215,2023-11-03,ทางข้ามบริเวณสวนสาธารณะทางลงจากมอเตอร์เวย์ ,ศรีนครินทร์,10128,2683.0,46,2,86,5,30710,10359.0,303,5,952,24,5282.0,2148,95,1,104,5,62938.0,13.74119221,100.6423958,33.080681910599154,26.21346575153752,0
216,216,2023-11-03,พัฒนาการ - พัฒนาการ 53,พัฒนาการ 53,849,305.0,0,0,4,0,3091,1182.0,0,0,98,0,792.0,255,0,0,12,0,6588.0,13.73253569,100.6489607,32.610077308761525,23.394152030766662,0
217,217,2023-11-03,พัฒนาการ - พัฒนาการ 53,พัฒนาการ,4940,1203.0,41,0,53,6,17287,6302.0,134,0,603,32,4989.0,1596,27,0,45,5,37263.0,13.73253569,100.6489607,33.499356292873884,11.837097031845817,0
218,218,2023-11-06,สวนหลวง,ศรีนครินทร์,10253,2538.0,179,12,112,13,37439,14495.0,423,34,1104,13,10782.0,3850,91,6,178,9,81531.0,13.71284603,100.6437462,29.87785659122447,2.3575181908588707,0
219,219,2023-11-06,สวนหลวง,อ่อนนุช,6289,1985.0,34,16,114,8,16573,8173.0,152,51,900,35,4101.0,2124,30,11,90,9,40695.0,13.71284603,100.6437462,29.777543326602906,46.818854715628554,0
220,220,2023-11-07,หน้าวัดอมรินทรารามวิหาร,พระนเรศวรมหาราช,1554,470.0,28,25,11,80,5194,1738.0,40,61,53,273,1200.0,402,10,16,7,56,11218.0,13.760557,100.482976,31.15998691489324,37.13380627146398,0
221,221,2023-11-07,ป้อมเผด็จ,ถนนสนามไชย,1972,389.0,83,39,18,73,6027,2617.0,495,119,85,538,1909.0,574,81,18,2,82,15121.0,13.75246394,100.4935693,34.92610695977852,20.77952116531852,0
222,222,2023-11-07,ป้อมเผด็จ,ถนนราชดำเนินใน,1348,312.0,44,6,8,44,3378,1065.0,279,25,84,820,435.0,169,53,5,5,154,8234.0,13.75246394,100.4935693,34.87905369405113,41.32162682311954,0
223,223,2023-11-07,ป้อมเผด็จ,ถนนหน้าพระลาน,32,10.0,1,0,1,5,136,41.0,3,0,18,15,10.0,7,0,0,6,4,289.0,13.75246394,100.4935693,25.7868153605039,42.452148166984486,0
224,224,2023-11-07,ป้อมเผด็จ,ถนนหลักเมือง,42,8.0,0,0,0,4,354,66.0,0,0,0,22,25.0,7,0,0,0,0,528.0,13.75246394,100.4935693,28.97486182173909,32.657161028421875,0
225,225,2023-11-08,หน้าโรงเรียนนานาชาติสิงคโปร์,ราชมนตรี 8,570,307.0,0,0,24,0,1443,1252.0,1,0,124,4,395.0,270,0,0,17,1,4408.0,13.732333,100.420445,30.2721909213913,23.99441163163817,0
226,226,2023-11-08,วัดไชยฉิมพลี,เพชรเกษม 48,593,212.0,0,0,4,4,1699,925.0,0,0,50,11,583.0,216,0,0,4,3,4304.0,13.73718981,100.4336692,33.127701314973216,26.39303404103676,0
227,227,2023-11-08,วัดไชยฉิมพลี,บางแวก,1463,544.0,0,0,14,0,5334,2449.0,0,0,134,14,1713.0,892,0,0,8,3,12568.0,13.73718981,100.4336692,28.38298748889202,25.714360539712406,0
228,228,2023-11-09,เสนานิคม 1 ซอย 17,เสนานิคม 1,2597,457.0,2,1,12,298,7027,2156.0,1,0,139,624,1625.0,592,1,0,8,123,15663.0,13.83350309,100.5855839,30.123894184087874,46.17275465500859,0
229,229,2023-11-09,ลาดพร้าววังหิน - โชคชัย 4,ลาดพร้าววังหิน,2538,559.0,1,0,16,102,7371,2339.0,1,0,143,347,1639.0,615,0,0,17,118,15806.0,13.82444538,100.5916745,31.996655498678575,46.91532482410308,0
